"","LOCATION","TIME","HEALTHEXP_PC_GDP","HEALTHEXP_USD_CAP","INFANTMORTALITY","LIFEEXP"
"938","IDN",1987,NA,NA,69.3,62.3
"939","IDN",1988,NA,NA,67,62.6
"940","IDN",1989,NA,NA,64.6,62.9
"941","IDN",1990,NA,NA,62.2,63.3
"942","IDN",1991,NA,NA,59.8,63.7
"943","IDN",1992,NA,NA,57.4,64
"944","IDN",1993,NA,NA,55.1,64.4
"945","IDN",1994,NA,NA,52.9,64.7
"946","IDN",1995,NA,NA,50.8,65
"947","IDN",1996,NA,NA,48.7,65.3
"948","IDN",1997,NA,NA,46.7,65.6
"949","IDN",1998,NA,NA,44.7,65.9
"950","IDN",1999,NA,NA,42.9,66.1
"951","IDN",2000,1.808,91.04,41.1,66.2
"952","IDN",2001,2.04,107.404,39.4,66.4
"953","IDN",2002,2.073,114.274,37.8,66.6
"954","IDN",2003,2.316,134.576,36.3,66.8
"955","IDN",2004,2.164,133.92,36,67
"956","IDN",2005,2.549,169.854,33.4,67.2
"957","IDN",2006,2.655,189.83,32.1,67.4
"958","IDN",2007,2.832,218.151,30.9,67.6
"959","IDN",2008,2.564,210.766,29.7,67.8
"960","IDN",2009,2.635,220.83,28.5,68
"961","IDN",2010,2.741,230.262,27.4,68.1
"962","IDN",2011,2.713,243.468,26.3,68.3
"963","IDN",2012,2.898,276.872,25.3,68.5
"964","IDN",2013,2.919,295.145,24.4,68.7
"965","IDN",2014,2.841,302.499,23.6,68.9
"966","IDN",2015,NA,NA,22.8,69.1
"967","IND",1970,NA,NA,142.8,47.7
"968","IND",1971,NA,NA,140.6,48.4
"969","IND",1972,NA,NA,138.3,49.1
"970","IND",1973,NA,NA,135.8,49.8
"971","IND",1974,NA,NA,133.1,50.4
"972","IND",1975,NA,NA,130.3,51.1
"973","IND",1976,NA,NA,127.2,51.7
"974","IND",1977,NA,NA,124,52.3
"975","IND",1978,NA,NA,120.7,52.9
"976","IND",1979,NA,NA,117.5,53.4
"977","IND",1980,NA,NA,114.3,53.9
"978","IND",1981,NA,NA,111.3,54.3
"979","IND",1982,NA,NA,108.4,54.8
"980","IND",1983,NA,NA,105.7,55.1
"981","IND",1984,NA,NA,103.1,55.5
"982","IND",1985,NA,NA,100.6,55.9
"983","IND",1986,NA,NA,98.1,56.2
"984","IND",1987,NA,NA,95.6,56.6
"985","IND",1988,NA,NA,93.1,57
"986","IND",1989,NA,NA,90.7,57.5
"987","IND",1990,NA,NA,88.3,58
"988","IND",1991,NA,NA,86.1,58.5
"989","IND",1992,NA,NA,83.9,59
"990","IND",1993,NA,NA,81.7,59.5
"991","IND",1994,NA,NA,79.6,60
"992","IND",1995,NA,NA,77.5,60.5
"993","IND",1996,NA,NA,75.4,60.9
"994","IND",1997,NA,NA,73.1,61.4
"995","IND",1998,NA,NA,70.9,61.8
"996","IND",1999,NA,NA,68.6,62.3
"997","IND",2000,4.264,85.211,66.4,62.6
"998","IND",2001,4.497,94.689,64.2,63
"999","IND",2002,4.401,96.042,62,63.4
"1000","IND",2003,4.297,101.456,59.9,63.8
"1001","IND",2004,4.22,108.733,57.8,64.1
"1002","IND",2005,4.282,122.508,55.8,64.5
"1003","IND",2006,4.247,134.735,53.9,64.9
"1004","IND",2007,4.227,147.284,51.9,65.3
"1005","IND",2008,4.339,157.86,50,65.7
"1006","IND",2009,4.376,171.536,48.2,66.1
"1007","IND",2010,4.28,184.687,46.3,66.5
"1008","IND",2011,4.379,202.952,44.4,66.9
"1009","IND",2012,4.408,216.829,42.6,67.3
"1010","IND",2013,4.573,240.116,40.9,67.7
"1011","IND",2014,4.768,269.27,39.3,68
"1012","IND",2015,NA,NA,37.9,68.3
"1013","IRL",1970,4.908,120.579,19.5,71.2
"1014","IRL",1971,5.817,153.566,18,NA
"1015","IRL",1972,5.884,170.023,18,NA
"1016","IRL",1973,6.019,189,18,NA
"1017","IRL",1974,6.507,228.331,17.8,NA
"1018","IRL",1975,6.594,262.782,17.5,NA
"1019","IRL",1976,6.437,270.264,15.5,NA
"1020","IRL",1977,6.135,292.034,15.5,NA
"1021","IRL",1978,6.46,347.779,14.9,71.5
"1022","IRL",1979,6.797,402.894,12.8,72.3
"1023","IRL",1980,7.499,493.79,11.1,72.9
"1024","IRL",1981,7.093,521.542,10.3,72.9
"1025","IRL",1982,6.95,549.833,10.5,72.9
"1026","IRL",1983,6.974,568.139,10.1,NA
"1027","IRL",1984,6.816,596.285,9.6,NA
"1028","IRL",1985,6.833,634.925,8.8,73.4
"1029","IRL",1986,6.74,635.886,8.9,73.6
"1030","IRL",1987,6.445,652.55,7.9,74.5
"1031","IRL",1988,6.134,679.209,8.9,74.5
"1032","IRL",1989,5.757,703.602,8.1,74.5
"1033","IRL",1990,5.609,770.325,8.2,74.9
"1034","IRL",1991,6.06,871.565,7.6,75.1
"1035","IRL",1992,6.321,954.391,6.5,75.5
"1036","IRL",1993,6.371,1006.286,6.1,75.3
"1037","IRL",1994,6.269,1065.288,5.7,75.9
"1038","IRL",1995,6.101,1154.378,6.4,75.6
"1039","IRL",1996,5.926,1213.491,6,75.9
"1040","IRL",1997,5.846,1321.642,6.1,76.1
"1041","IRL",1998,5.635,1411.162,5.9,76.3
"1042","IRL",1999,5.585,1509.131,5.9,76.2
"1043","IRL",2000,5.905,1780.718,6.2,76.6
"1044","IRL",2001,6.4,2087.515,5.7,77.2
"1045","IRL",2002,6.675,2350.234,5,77.7
"1046","IRL",2003,7.009,2539.614,5.3,78.2
"1047","IRL",2004,7.225,2795.872,4.6,78.6
"1048","IRL",2005,7.647,3092.606,3.8,79
"1049","IRL",2006,7.511,3323.175,3.9,79.3
"1050","IRL",2007,7.799,3646.991,3.2,79.7
"1051","IRL",2008,9.106,4030.72,3.4,80.2
"1052","IRL",2009,10.511,4369.253,3.3,80.3
"1053","IRL",2010,10.541,4555.911,3.6,80.8
"1054","IRL",2011,9.935,4518.147,3.5,80.8
"1055","IRL",2012,10.061,4683.466,3.5,80.9
"1056","IRL",2013,10.419,5033.368,3.5,81.1
"1057","IRL",2014,9.913,5082.045,3.3,81.4
"1058","IRL",2015,7.761,5275.77,3.4,81.5
"1059","ISL",1970,4.622,179.554,13.2,74
"1060","ISL",1971,5.052,231.25,12.9,73.7
"1061","ISL",1972,4.952,247.469,11.3,74.5
"1062","ISL",1973,4.538,251.538,9.6,74.6
"1063","ISL",1974,5.181,326.401,11.7,74.6
"1064","ISL",1975,5.596,382.795,12.5,75.7
"1065","ISL",1976,5.251,397.507,7.7,77.1
"1066","ISL",1977,5.199,451.469,9.5,76.5
"1067","ISL",1978,5.593,546.812,11.3,76.7
"1068","ISL",1979,6.321,694.697,5.4,NA
"1069","ISL",1980,5.854,733.841,7.7,77
"1070","ISL",1981,5.981,845.061,6,76.6
"1071","ISL",1982,6.266,947.719,7.1,77.1
"1072","ISL",1983,6.87,1043.022,6.2,77
"1073","ISL",1984,6.476,1048.919,6.1,77.7
"1074","ISL",1985,6.707,1148.853,5.7,77.7
"1075","ISL",1986,7.157,1319.526,5.3,78.1
"1076","ISL",1987,7.331,1488.1,7.3,77.4
"1077","ISL",1988,7.908,1634.102,6.2,77.2
"1078","ISL",1989,7.732,1643.688,5.5,78.2
"1079","ISL",1990,7.384,1634.073,5.9,78.1
"1080","ISL",1991,7.56,1704.844,5.5,78.1
"1081","ISL",1992,7.76,1707.914,4.8,78.8
"1082","ISL",1993,7.848,1773.449,4.8,79
"1083","ISL",1994,7.674,1819.226,3.4,79.3
"1084","ISL",1995,7.797,1878.922,6.1,78.1
"1085","ISL",1996,7.832,1957.762,3.7,78.9
"1086","ISL",1997,7.737,2084.881,5.5,79
"1087","ISL",1998,8.499,2428.195,2.6,79.7
"1088","ISL",1999,8.899,2615.524,2.4,79.4
"1089","ISL",2000,9.009,2657.336,3,79.7
"1090","ISL",2001,8.881,2808.04,2.7,80.8
"1091","ISL",2002,9.588,3086.462,2.2,80.6
"1092","ISL",2003,10.075,3254.471,2.4,81
"1093","ISL",2004,9.555,3372.522,2.8,81.1
"1094","ISL",2005,9.214,3405.817,2.3,81.6
"1095","ISL",2006,8.919,3453.849,1.4,81.2
"1096","ISL",2007,8.721,3551.539,2,81.5
"1097","ISL",2008,8.716,3719.768,2.5,81.7
"1098","ISL",2009,9.059,3719.802,1.8,81.8
"1099","ISL",2010,8.808,3383.361,2.2,82
"1100","ISL",2011,8.642,3410.548,0.9,82.4
"1101","ISL",2012,8.691,3518.565,1.1,83
"1102","ISL",2013,8.696,3707.433,1.8,82.1
"1103","ISL",2014,8.784,3890.574,2.1,82.9
"1104","ISL",2015,8.609,4105.674,2.2,82.5
"1105","ISR",1970,NA,NA,24.2,NA
"1106","ISR",1971,NA,NA,23,71.8
"1107","ISR",1972,NA,NA,24.2,71.5
"1108","ISR",1973,NA,NA,22.8,71.7
"1109","ISR",1974,NA,NA,23.5,71.7
"1110","ISR",1975,4.453,NA,22.9,72.1
"1111","ISR",1976,5.11,NA,20.1,73
"1112","ISR",1977,5.762,356.673,17.8,73
"1113","ISR",1978,6.328,433.012,17.2,73.3
"1114","ISR",1979,6.868,526.779,16.6,73.6
"1115","ISR",1980,6.961,577.948,15.6,73.9
"1116","ISR",1981,6.749,633.588,15.7,74.3
"1117","ISR",1982,6.803,680.191,14.1,74.2
"1118","ISR",1983,7.275,765.259,13.7,74.5
"1119","ISR",1984,8.805,955.642,12.8,74.9
"1120","ISR",1985,6.558,750.863,11.9,75.3
"1121","ISR",1986,6.107,731.903,11.4,75
"1122","ISR",1987,6.203,803.67,11.1,75.3
"1123","ISR",1988,6.443,874.534,10.1,75.7
"1124","ISR",1989,6.916,964.277,10.1,76.4
"1125","ISR",1990,6.503,978.247,9.9,76.7
"1126","ISR",1991,6.202,977.827,9.2,76.8
"1127","ISR",1992,6.462,1084.719,9.4,76.6
"1128","ISR",1993,6.633,1155.638,7.8,77.2
"1129","ISR",1994,7.107,1323.924,7.5,77.5
"1130","ISR",1995,6.922,1366.316,6.8,77.5
"1131","ISR",1996,7.008,1456.832,6.3,78.2
"1132","ISR",1997,7.142,1532.431,6.4,78.1
"1133","ISR",1998,7.086,1562.74,5.9,78.2
"1134","ISR",1999,6.785,1533.342,5.8,78.5
"1135","ISR",2000,6.803,1695.798,5.5,78.8
"1136","ISR",2001,7.233,1802.953,5.1,79.3
"1137","ISR",2002,7.159,1802.991,5.4,79.5
"1138","ISR",2003,7.105,1689.314,4.9,79.7
"1139","ISR",2004,7.032,1772.999,4.6,80.2
"1140","ISR",2005,7.127,1768.952,4.4,80.2
"1141","ISR",2006,6.941,1781.642,4,80.6
"1142","ISR",2007,6.912,1900.537,3.9,80.6
"1143","ISR",2008,6.998,1918.194,3.8,81
"1144","ISR",2009,7.092,1948.727,3.8,81.5
"1145","ISR",2010,7.047,2033.618,3.7,81.7
"1146","ISR",2011,7.006,2138.774,3.5,81.7
"1147","ISR",2012,7.122,2261.405,3.6,81.8
"1148","ISR",2013,7.081,2423.346,3.1,82.1
"1149","ISR",2014,7.431,2595.481,3.1,82.2
"1150","ISR",2015,7.423,2712.958,3.1,82.1
"1151","ITA",1970,NA,NA,29.6,NA
"1152","ITA",1971,NA,NA,28.5,72
"1153","ITA",1972,NA,NA,27,NA
"1154","ITA",1973,NA,NA,26.2,NA
"1155","ITA",1974,NA,NA,22.9,72.6
"1156","ITA",1975,NA,NA,21.2,72.7
"1157","ITA",1976,NA,NA,19.5,72.8
"1158","ITA",1977,NA,NA,18.1,73.4
"1159","ITA",1978,NA,NA,17.1,73.8
"1160","ITA",1979,NA,NA,15.7,74.1
"1161","ITA",1980,NA,NA,14.6,74
"1162","ITA",1981,NA,NA,14.1,74.3
"1163","ITA",1982,NA,NA,13,74.7
"1164","ITA",1983,NA,NA,12.3,74.8
"1165","ITA",1984,NA,NA,11.4,75
"1166","ITA",1985,NA,NA,10.5,75.6
"1167","ITA",1986,NA,NA,10.2,75.9
"1168","ITA",1987,NA,NA,9.8,76.3
"1169","ITA",1988,6.67,1090.715,9.3,76.5
"1170","ITA",1989,6.657,1168.312,8.7,76.9
"1171","ITA",1990,7.015,1301.06,8.1,77.1
"1172","ITA",1991,7.25,1409.766,8,77.1
"1173","ITA",1992,7.118,1426.551,7.8,77.5
"1174","ITA",1993,7.088,1440.941,7,77.8
"1175","ITA",1994,6.934,1470.284,6.4,78
"1176","ITA",1995,6.871,1530.256,6.1,78.3
"1177","ITA",1996,6.964,1599.504,6,78.6
"1178","ITA",1997,7.224,1719.523,5.5,78.9
"1179","ITA",1998,7.268,1811.34,5.1,79.1
"1180","ITA",1999,7.336,1872.985,4.9,79.5
"1181","ITA",2000,7.58,2047.185,4.3,79.9
"1182","ITA",2001,7.769,2175.028,4.4,80.2
"1183","ITA",2002,7.893,2260.688,4.1,80.3
"1184","ITA",2003,7.855,2284.319,3.8,80.1
"1185","ITA",2004,8.188,2412.793,3.4,80.9
"1186","ITA",2005,8.361,2512.69,3.3,80.9
"1187","ITA",2006,8.46,2736.757,3.2,81.4
"1188","ITA",2007,8.163,2773.989,3.1,81.5
"1189","ITA",2008,8.562,3031.138,3.1,81.6
"1190","ITA",2009,8.977,3101.328,3.2,81.7
"1191","ITA",2010,8.954,3140.547,3,82.1
"1192","ITA",2011,8.835,3211.158,2.9,82.3
"1193","ITA",2012,8.956,3245.418,2.9,82.3
"1194","ITA",2013,8.952,3234.555,2.9,82.8
"1195","ITA",2014,9.011,3270.619,2.8,83.2
"1196","ITA",2015,8.996,3351.594,2.9,82.6
"1197","JPN",1970,4.385,141.137,13.1,72
"1198","JPN",1971,4.497,157.096,12.4,72.9
"1199","JPN",1972,4.604,179.362,11.7,73.2
"1200","JPN",1973,4.482,196.173,11.3,73.4
"1201","JPN",1974,4.921,228.753,10.8,73.7
"1202","JPN",1975,5.441,281.41,10,74.3
"1203","JPN",1976,5.441,305.551,9.3,74.8
"1204","JPN",1977,5.577,343.955,8.9,75.3
"1205","JPN",1978,5.766,397.026,8.4,75.7
"1206","JPN",1979,5.888,459.131,7.9,76.2
"1207","JPN",1980,6.279,544.631,7.5,76.1
"1208","JPN",1981,6.349,622.715,7.1,76.5
"1209","JPN",1982,6.506,695.724,6.6,76.9
"1210","JPN",1983,6.608,751.883,6.2,77
"1211","JPN",1984,6.41,783.936,6,77.4
"1212","JPN",1985,6.473,863.347,5.5,77.6
"1213","JPN",1986,6.426,894.627,5.2,78.1
"1214","JPN",1987,6.435,952.021,5,78.5
"1215","JPN",1988,6.147,1004.321,4.8,78.4
"1216","JPN",1989,5.901,1051.385,4.6,78.8
"1217","JPN",1990,5.744,1116.706,4.6,78.9
"1218","JPN",1991,5.784,1195.991,4.4,79.1
"1219","JPN",1992,6.042,1283.325,4.5,79.2
"1220","JPN",1993,6.314,1371.314,4.3,79.4
"1221","JPN",1994,6.584,1469.1,4.2,79.8
"1222","JPN",1995,6.282,1469.514,4.3,79.6
"1223","JPN",1996,6.124,1501.208,3.8,80.3
"1224","JPN",1997,6.4,1607.614,3.7,80.5
"1225","JPN",1998,6.615,1656.82,3.6,80.6
"1226","JPN",1999,6.976,1765.976,3.4,80.6
"1227","JPN",2000,7.151,1914.851,3.2,81.2
"1228","JPN",2001,7.359,2019.825,3.1,81.5
"1229","JPN",2002,7.473,2104.673,3,81.8
"1230","JPN",2003,7.611,2198.843,3,81.9
"1231","JPN",2004,7.657,2327.818,2.8,82.1
"1232","JPN",2005,7.781,2463.725,2.8,82
"1233","JPN",2006,7.808,2580.146,2.6,82.4
"1234","JPN",2007,7.89,2723.832,2.6,82.6
"1235","JPN",2008,8.2,2852.863,2.6,82.7
"1236","JPN",2009,9.058,2998.593,2.4,83
"1237","JPN",2010,9.157,3204.85,2.3,82.9
"1238","JPN",2011,10.617,3798.062,2.3,82.7
"1239","JPN",2012,10.791,4014.337,2.2,83.2
"1240","JPN",2013,10.792,4206.951,2.1,83.4
"1241","JPN",2014,10.836,4269.191,2.1,83.7
"1242","JPN",2015,10.898,4435.64,NA,83.9
"1243","KOR",1970,2.577,15.602,45,62.3
"1244","KOR",1971,2.238,15.418,NA,62.7
"1245","KOR",1972,2.04,15.42,NA,63.1
"1246","KOR",1973,1.749,15.724,NA,63.5
"1247","KOR",1974,1.521,16.037,NA,63.9
"1248","KOR",1975,2.306,28.179,NA,64.3
"1249","KOR",1976,2.332,33.465,NA,64.6
"1250","KOR",1977,2.214,37.296,NA,65
"1251","KOR",1978,2.405,47.315,NA,65.3
"1252","KOR",1979,3.134,71.401,NA,65.6
"1253","KOR",1980,3.458,83.141,NA,66.2
"1254","KOR",1981,3.597,99.753,17,66.7
"1255","KOR",1982,3.556,111.654,NA,67.2
"1256","KOR",1983,3.449,125.619,NA,67.7
"1257","KOR",1984,3.279,134.894,16,68.3
"1258","KOR",1985,3.316,150.231,13,68.9
"1259","KOR",1986,3.192,162.453,NA,69.5
"1260","KOR",1987,3.109,180.709,13,70.1
"1261","KOR",1988,3.245,216.312,NA,70.7
"1262","KOR",1989,3.732,273.934,12,71.2
"1263","KOR",1990,3.68,304.54,NA,71.7
"1264","KOR",1991,3.52,328.928,10,72.2
"1265","KOR",1992,3.644,365.947,NA,72.6
"1266","KOR",1993,3.558,386.857,9.9,73.1
"1267","KOR",1994,3.434,412.286,NA,73.5
"1268","KOR",1995,3.441,457.45,NA,73.8
"1269","KOR",1996,3.625,522.983,7.7,74.2
"1270","KOR",1997,3.608,555.617,NA,74.7
"1271","KOR",1998,3.743,546.809,NA,75.1
"1272","KOR",1999,3.943,646.409,6.2,75.5
"1273","KOR",2000,3.999,723.058,NA,76
"1274","KOR",2001,4.525,868.176,NA,76.5
"1275","KOR",2002,4.376,909.178,5.3,76.8
"1276","KOR",2003,4.755,1016.312,NA,77.3
"1277","KOR",2004,4.777,1096.188,NA,77.8
"1278","KOR",2005,5.082,1229.758,4.7,78.2
"1279","KOR",2006,5.498,1419.891,4.1,78.8
"1280","KOR",2007,5.662,1575.199,3.5,79.2
"1281","KOR",2008,5.817,1666.957,3.4,79.6
"1282","KOR",2009,6.362,1801.872,3.2,80
"1283","KOR",2010,6.505,1975.962,3.2,80.2
"1284","KOR",2011,6.558,2048.103,3,80.6
"1285","KOR",2012,6.728,2159.339,2.9,80.9
"1286","KOR",2013,6.905,2252.095,3,81.4
"1287","KOR",2014,7.125,2396.231,3,81.8
"1288","KOR",2015,7.391,2534.938,2.7,82.1
"1289","LTU",1970,NA,NA,19.3,70.9
"1290","LTU",1971,NA,NA,14.8,71.9
"1291","LTU",1972,NA,NA,17.4,71.2
"1292","LTU",1973,NA,NA,18.1,71.5
"1293","LTU",1974,NA,NA,19.4,71.4
"1294","LTU",1975,NA,NA,19.6,71
"1295","LTU",1976,NA,NA,18.2,71
"1296","LTU",1977,NA,NA,17.2,70.9
"1297","LTU",1978,NA,NA,18.2,70.6
"1298","LTU",1979,NA,NA,16.8,70.5
"1299","LTU",1980,NA,NA,14.5,70.4
"1300","LTU",1981,NA,NA,16.5,70.4
"1301","LTU",1982,NA,NA,15,70.8
"1302","LTU",1983,NA,NA,13.9,70.7
"1303","LTU",1984,NA,NA,13.4,70.2
"1304","LTU",1985,NA,NA,14.2,70.5
"1305","LTU",1986,NA,NA,11.6,72.1
"1306","LTU",1987,NA,NA,12.3,72
"1307","LTU",1988,NA,NA,11.6,71.9
"1308","LTU",1989,NA,NA,10.7,71.6
"1309","LTU",1990,NA,NA,10.2,71.4
"1310","LTU",1991,NA,NA,14.4,70.6
"1311","LTU",1992,NA,NA,16.3,70.4
"1312","LTU",1993,NA,NA,15.7,69.1
"1313","LTU",1994,NA,NA,14.2,68.7
"1314","LTU",1995,NA,NA,12.5,69.2
"1315","LTU",1996,NA,NA,10.1,70.3
"1316","LTU",1997,NA,NA,10.3,71.1
"1317","LTU",1998,NA,NA,9.3,71.4
"1318","LTU",1999,NA,NA,8.7,71.7
"1319","LTU",2000,6.192,523.273,8.6,72.1
"1320","LTU",2001,6.006,568.965,8,71.7
"1321","LTU",2002,6.136,643.984,8.1,71.8
"1322","LTU",2003,6.179,745.67,6.9,72.1
"1323","LTU",2004,5.506,718.025,8.1,72
"1324","LTU",2005,5.642,819.555,7.1,71.3
"1325","LTU",2006,5.838,962.904,7.2,71.1
"1326","LTU",2007,5.758,1099.161,6.3,70.9
"1327","LTU",2008,6.287,1304.263,5.5,71.8
"1328","LTU",2009,7.356,1336.124,5.6,72.9
"1329","LTU",2010,6.816,1372.066,5,73.3
"1330","LTU",2011,6.496,1484.718,4.8,73.7
"1331","LTU",2012,6.288,1550.425,3.9,74
"1332","LTU",2013,6.133,1636.967,3.7,74.1
"1333","LTU",2014,6.192,1743.253,3.9,74.7
"1334","LTU",2015,6.514,1883.284,4.2,74.5
"1335","LUX",1970,NA,NA,24.9,NA
"1336","LUX",1971,NA,NA,22.5,69.7
"1337","LUX",1972,NA,NA,14,70.9
"1338","LUX",1973,NA,NA,15.3,70.8
"1339","LUX",1974,NA,NA,13.5,70.8
"1340","LUX",1975,NA,NA,14.8,70.8
"1341","LUX",1976,3.898,NA,17.9,70.8
"1342","LUX",1977,4.24,NA,10.6,72.2
"1343","LUX",1978,4.475,NA,10.6,72.1
"1344","LUX",1979,4.544,NA,13,72.8
"1345","LUX",1980,4.642,NA,11.5,72.8
"1346","LUX",1981,4.763,NA,13.8,72.6
"1347","LUX",1982,4.641,NA,12.1,72.7
"1348","LUX",1983,4.557,NA,11.2,73.5
"1349","LUX",1984,4.47,NA,11.7,73.3
"1350","LUX",1985,4.53,NA,9,73.8
"1351","LUX",1986,4.501,NA,7.9,74.7
"1352","LUX",1987,4.899,NA,9.4,74.3
"1353","LUX",1988,5.072,NA,8.5,75
"1354","LUX",1989,4.941,NA,9.9,74.8
"1355","LUX",1990,5.127,NA,7.3,75.6
"1356","LUX",1991,4.92,NA,9.2,75.7
"1357","LUX",1992,5.162,NA,8.5,75.3
"1358","LUX",1993,5.228,NA,6,75.9
"1359","LUX",1994,5.093,NA,5.3,76.6
"1360","LUX",1995,5.331,2224.571,5.5,76.8
"1361","LUX",1996,5.341,2327.058,4.9,76.8
"1362","LUX",1997,5.249,2365.844,4.2,77
"1363","LUX",1998,5.427,2530.314,5,77.3
"1364","LUX",1999,5.526,2932.574,4.7,77.9
"1365","LUX",2000,5.901,3405.253,5.1,78
"1366","LUX",2001,6.41,3739.311,5.9,77.9
"1367","LUX",2002,6.738,4123.523,5.1,78.1
"1368","LUX",2003,6.971,4360.998,4.9,77.8
"1369","LUX",2004,7.347,4906.7,3.9,79.2
"1370","LUX",2005,7.184,5125.507,2.6,79.5
"1371","LUX",2006,6.71,5496.808,2.5,79.4
"1372","LUX",2007,6.234,5511.928,1.8,79.5
"1373","LUX",2008,6.538,5979.619,1.8,80.6
"1374","LUX",2009,7.34,6393.415,2.5,80.7
"1375","LUX",2010,7.031,6386.501,3.4,80.7
"1376","LUX",2011,6.112,5969.814,4.3,81.1
"1377","LUX",2012,6.572,6403.105,2.5,81.5
"1378","LUX",2013,6.548,6692.835,3.9,81.9
"1379","LUX",2014,6.266,6850.289,2.8,82.3
"1380","LUX",2015,6.048,6817.898,2.8,82.4
"1381","LVA",1970,NA,NA,17.7,NA
"1382","LVA",1971,NA,NA,15.9,NA
"1383","LVA",1972,NA,NA,16,NA
"1384","LVA",1973,NA,NA,15.8,NA
"1385","LVA",1974,NA,NA,18.4,NA
"1386","LVA",1975,NA,NA,20.3,NA
"1387","LVA",1976,NA,NA,20.1,NA
"1388","LVA",1977,NA,NA,18.3,NA
"1389","LVA",1978,NA,NA,18.1,NA
"1390","LVA",1979,NA,NA,18.3,NA
"1391","LVA",1980,NA,NA,15.3,NA
"1392","LVA",1981,NA,NA,16,NA
"1393","LVA",1982,NA,NA,13.9,NA
"1394","LVA",1983,NA,NA,15.9,NA
"1395","LVA",1984,NA,NA,12.9,NA
"1396","LVA",1985,NA,NA,13,NA
"1397","LVA",1986,NA,NA,12.8,NA
"1398","LVA",1987,NA,NA,11.3,NA
"1399","LVA",1988,NA,NA,11,NA
"1400","LVA",1989,NA,NA,11.3,NA
"1401","LVA",1990,NA,NA,13.7,NA
"1402","LVA",1991,NA,NA,15.7,NA
"1403","LVA",1992,NA,NA,17.6,NA
"1404","LVA",1993,NA,NA,16.2,NA
"1405","LVA",1994,NA,NA,15.7,NA
"1406","LVA",1995,NA,NA,18.8,NA
"1407","LVA",1996,NA,NA,15.9,NA
"1408","LVA",1997,NA,NA,15.3,NA
"1409","LVA",1998,NA,NA,15,NA
"1410","LVA",1999,NA,NA,11.3,NA
"1411","LVA",2000,5.448,436.541,10.3,NA
"1412","LVA",2001,5.778,523.292,11,NA
"1413","LVA",2002,5.769,580.964,9.8,70.1
"1414","LVA",2003,5.49,605.359,9.4,70.5
"1415","LVA",2004,6.229,761.389,9.3,70.8
"1416","LVA",2005,5.86,811.519,7.7,70.6
"1417","LVA",2006,5.737,904.26,7.4,70.6
"1418","LVA",2007,5.768,1045.357,8.5,70.8
"1419","LVA",2008,5.625,1093.119,6.6,72
"1420","LVA",2009,6.154,1039.317,7.6,72.6
"1421","LVA",2010,6.148,1081.676,5.6,73
"1422","LVA",2011,5.572,1101.782,6.6,73.7
"1423","LVA",2012,5.42,1151.918,6.3,73.9
"1424","LVA",2013,5.4,1224.49,4.4,74.1
"1425","LVA",2014,5.488,1310.84,3.8,74.3
"1426","LVA",2015,5.761,1434.35,4.1,74.6
"1427","MEX",1970,NA,NA,NA,60.9
"1428","MEX",1971,NA,NA,71.3,62.4
"1429","MEX",1972,NA,NA,68.9,63.1
"1430","MEX",1973,NA,NA,67.2,63.7
"1431","MEX",1974,NA,NA,66.1,64.2
"1432","MEX",1975,NA,NA,64.6,64.7
"1433","MEX",1976,NA,NA,62.2,65.2
"1434","MEX",1977,NA,NA,60.5,65.7
"1435","MEX",1978,NA,NA,58.3,66.1
"1436","MEX",1979,NA,NA,55.7,66.6
"1437","MEX",1980,NA,NA,52.6,67.2
"1438","MEX",1981,NA,NA,49.3,67.7
"1439","MEX",1982,NA,NA,46.3,68.2
"1440","MEX",1983,NA,NA,44.2,68.6
"1441","MEX",1984,NA,NA,42.8,69.1
"1442","MEX",1985,NA,NA,41.6,69.5
"1443","MEX",1986,NA,NA,40,69.9
"1444","MEX",1987,NA,NA,38.4,70.2
"1445","MEX",1988,NA,NA,36.8,70.6
"1446","MEX",1989,NA,NA,NA,70.8
"1447","MEX",1990,NA,NA,32.5,70.5
"1448","MEX",1991,NA,NA,31.1,70.9
"1449","MEX",1992,NA,NA,29.7,71.3
"1450","MEX",1993,NA,NA,28.4,71.7
"1451","MEX",1994,NA,NA,27.2,72
"1452","MEX",1995,NA,NA,26,72.3
"1453","MEX",1996,NA,NA,24.9,72.5
"1454","MEX",1997,NA,NA,23.8,72.8
"1455","MEX",1998,NA,NA,22.8,73
"1456","MEX",1999,4.916,449.019,21.8,73.2
"1457","MEX",2000,4.856,484.387,20.8,73.3
"1458","MEX",2001,5.253,529.253,20,73.5
"1459","MEX",2002,5.406,557.88,19.1,73.6
"1460","MEX",2003,5.945,642.591,18.3,73.8
"1461","MEX",2004,6.049,691.853,17.6,73.9
"1462","MEX",2005,5.922,730.816,16.9,74
"1463","MEX",2006,5.714,771.725,16.3,74.1
"1464","MEX",2007,5.819,822.367,15.7,74.2
"1465","MEX",2008,5.744,846.849,15.1,74.1
"1466","MEX",2009,6.176,889.163,14.6,74
"1467","MEX",2010,6.02,911.351,14.1,74.1
"1468","MEX",2011,5.755,942.472,13.7,74.2
"1469","MEX",2012,5.924,1005.894,13.3,74.4
"1470","MEX",2013,6.014,1038.243,13,74.6
"1471","MEX",2014,5.691,1026.368,12.5,74.8
"1472","MEX",2015,5.864,1054.484,12.5,75
"1473","NLD",1970,NA,NA,12.7,73.7
